"","TeamName","Season","NumOT","TeamID","Score","FGM","FGA","FGM3","FGA3","WFTM","FTA","OR","DR","Ast","TO","Stl","Blk","Pf","Won","FGPCT","FG3PCT","FTP"
"1","Alabama",2022,0,1104,93,32,64,13,33,16,23,14,34,19,13,9,2,19,"1",0.5,0.393939393939394,0.695652173913043
"2","Alabama A&M",2022,0,1105,82,31,71,7,17,13,21,14,23,16,8,6,1,10,"1",0.436619718309859,0.411764705882353,0.619047619047619
"3","American Univ",2022,1,1110,77,27,59,5,19,18,26,7,29,17,14,5,4,12,"1",0.457627118644068,0.263157894736842,0.692307692307692
"4","Arizona",2022,0,1112,81,28,69,8,25,17,24,14,28,25,6,11,9,16,"1",0.405797101449275,0.32,0.708333333333333
"5","Arizona St",2022,0,1113,76,31,66,7,26,7,9,13,29,15,19,10,3,16,"1",0.46969696969697,0.269230769230769,0.777777777777778
"6","Ark Little Rock",2022,0,1114,69,27,59,2,15,13,18,4,18,12,10,10,2,11,"1",0.457627118644068,0.133333333333333,0.722222222222222
"7","Arkansas",2022,0,1116,74,26,55,6,21,16,22,10,23,13,15,12,2,6,"1",0.472727272727273,0.285714285714286,0.727272727272727
"8","Auburn",2022,0,1120,77,32,69,9,31,4,7,9,24,12,6,12,8,12,"1",0.463768115942029,0.290322580645161,0.571428571428571
"9","Boise St",2022,0,1129,76,32,62,4,20,8,13,9,22,12,8,8,6,13,"1",0.516129032258065,0.2,0.615384615384615
"10","Boston College",2022,0,1130,73,25,51,7,18,16,25,8,27,9,12,2,0,16,"1",0.490196078431373,0.388888888888889,0.64
"11","Butler",2022,0,1139,56,15,44,7,25,19,23,9,25,11,14,3,1,14,"1",0.340909090909091,0.28,0.826086956521739
"12","BYU",2022,0,1140,69,21,47,5,19,22,27,7,28,12,13,1,7,17,"1",0.446808510638298,0.263157894736842,0.814814814814815
"13","Charlotte",2022,0,1150,68,21,55,6,27,20,24,4,22,9,5,8,1,14,"1",0.381818181818182,0.222222222222222,0.833333333333333
"14","Chattanooga",2022,0,1151,75,25,56,6,17,19,25,9,24,8,6,7,1,22,"1",0.446428571428571,0.352941176470588,0.76
"15","Chicago St",2022,0,1152,77,29,57,11,24,8,13,4,27,10,6,6,3,19,"1",0.508771929824561,0.458333333333333,0.615384615384615
"16","Cincinnati",2022,0,1153,65,25,55,7,23,8,17,6,33,14,9,5,6,17,"1",0.454545454545455,0.304347826086957,0.470588235294118
"17","Citadel",2022,0,1154,78,29,63,13,36,7,11,9,27,18,10,5,2,23,"1",0.46031746031746,0.361111111111111,0.636363636363636
"18","Clemson",2022,0,1155,64,21,45,8,19,14,25,4,26,12,13,4,2,13,"1",0.466666666666667,0.421052631578947,0.56
